E_COMMODITY_LDESC,ALL_VAL_YR,DIST_NAME,CTY_NAME,time,COMM_LVL,E_COMMODITY
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",114886824530,TOTAL FOR ALL DISTRICTS,TOTAL FOR ALL COUNTRIES,2013-12,HS2,88
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",125235692852,TOTAL FOR ALL DISTRICTS,TOTAL FOR ALL COUNTRIES,2014-12,HS2,88
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",131661791153,TOTAL FOR ALL DISTRICTS,TOTAL FOR ALL COUNTRIES,2015-12,HS2,88
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",134742238311,TOTAL FOR ALL DISTRICTS,TOTAL FOR ALL COUNTRIES,2016-12,HS2,88
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",131120839413,TOTAL FOR ALL DISTRICTS,TOTAL FOR ALL COUNTRIES,2017-12,HS2,88
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",139456724458,TOTAL FOR ALL DISTRICTS,TOTAL FOR ALL COUNTRIES,2018-12,HS2,88
