E_COMMODITY_LDESC,ALL_VAL_YR,DIST_NAME,CTY_NAME,time,COMM_LVL,E_COMMODITY
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION RECORDERS AND REPRODUCERS, PARTS AND ACCESSORIES",165818048345,TOTAL FOR ALL DISTRICTS,TOTAL FOR ALL COUNTRIES,2013-12,HS2,85
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION RECORDERS AND REPRODUCERS, PARTS AND ACCESSORIES",172372237084,TOTAL FOR ALL DISTRICTS,TOTAL FOR ALL COUNTRIES,2014-12,HS2,85
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION RECORDERS AND REPRODUCERS, PARTS AND ACCESSORIES",170010926769,TOTAL FOR ALL DISTRICTS,TOTAL FOR ALL COUNTRIES,2015-12,HS2,85
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION RECORDERS AND REPRODUCERS, PARTS AND ACCESSORIES",166964105033,TOTAL FOR ALL DISTRICTS,TOTAL FOR ALL COUNTRIES,2016-12,HS2,85
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION RECORDERS AND REPRODUCERS, PARTS AND ACCESSORIES",174505226248,TOTAL FOR ALL DISTRICTS,TOTAL FOR ALL COUNTRIES,2017-12,HS2,85
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION RECORDERS AND REPRODUCERS, PARTS AND ACCESSORIES",176553158626,TOTAL FOR ALL DISTRICTS,TOTAL FOR ALL COUNTRIES,2018-12,HS2,85
