E_COMMODITY_LDESC,ALL_VAL_YR,DIST_NAME,CTY_NAME,time,COMM_LVL,E_COMMODITY
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",148902536669,TOTAL FOR ALL DISTRICTS,TOTAL FOR ALL COUNTRIES,2013-12,HS2,27
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",156447655504,TOTAL FOR ALL DISTRICTS,TOTAL FOR ALL COUNTRIES,2014-12,HS2,27
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",104781536243,TOTAL FOR ALL DISTRICTS,TOTAL FOR ALL COUNTRIES,2015-12,HS2,27
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",94005493862,TOTAL FOR ALL DISTRICTS,TOTAL FOR ALL COUNTRIES,2016-12,HS2,27
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",139571912361,TOTAL FOR ALL DISTRICTS,TOTAL FOR ALL COUNTRIES,2017-12,HS2,27
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",192313387097,TOTAL FOR ALL DISTRICTS,TOTAL FOR ALL COUNTRIES,2018-12,HS2,27
