I_ENDUSE_LDESC,GEN_VAL_YR,I_COMMODITY,time,COMM_LVL
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",29419871919,88,2013-12,HS2
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",34353602614,88,2014-12,HS2
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",35181098236,88,2015-12,HS2
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",30902319627,88,2016-12,HS2
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",30776620153,88,2017-12,HS2
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",31860995860,88,2018-12,HS2
