EXPALL2015,COUNTRY,SCHEDULE
478711524,Afghanistan,5310
30897665,Albania,4810
1875732769,Algeria,7210
3336817,Andorra,4271
1166094807,Angola,7620
47602633,Anguilla,2481
677669756,Antigua and Barbuda,2484
9361856868,Argentina,3570
50246170,Armenia,4631
1167593143,Aruba,2779
25032402498,Australia,6021
4024271450,Austria,4330
478052857,Azerbaijan,4632
2386947221,Bahamas,2360
1270680873,Bahrain,5250
942520126,Bangladesh,5380
595421661,Barbados,2720
59235576,Belarus,4622
34173801448,Belgium,4231
285287151,Belize,2080
631352383,Benin,7610
600833287,Bermuda,2320
2648656,Bhutan,5682
931791231,Bolivia,3350
27523733,Bosnia and Herzegovina,4793
39286454,Botswana,7930
31640538352,Brazil,3510
581016,British Indian Ocean Territories,7810
259758571,British Virgin Islands,2482
133446638,Brunei,5610
289480371,Bulgaria,4870
53875343,Burkina Faso,7600
227309852,Burma,5460
5650192,Burundi,7670
7324191,Cabo Verde,7643
391095256,Cambodia,5550
224918873,Cameroon,7420
280855169199,Canada,1220
684937295,Cayman Islands,2440
34309874,Central African Republic,7540
56591528,Chad,7560
15448915234,Chile,3370
115873365314,China,5700
1551179,Christmas Island,6024
557620,Cocos (Keeling) Islands,6023
16302184612,Colombia,3010
1507078,Comoros,7890
249208061,Congo (Brazzaville),7630
136130785,Congo (Kinshasa),7660
4249826,Cook Islands,6142
6044943080,Costa Rica,2230
266415065,Cote d'Ivoire,7480
332091863,Croatia,4791
185718367,Cuba,2390
521257313,Curacao,2777
101836735,Cyprus,4910
1977042266,Czech Republic,4351
2202790668,Denmark,4099
144707679,Djibouti,7770
67312046,Dominica,2486
7114647370,Dominican Republic,2470
5818404323,Ecuador,3310
4758797408,Egypt,7290
3248766493,El Salvador,2110
161963013,Equatorial Guinea,7380
3497538,Eritrea,7741
288591562,Estonia,4470
28521751,Eswatini,7950
1555249376,Ethiopia,7749
2917708,Falkland Islands (Islas Malvinas),3720
2336863,Faroe Islands,4091
56904585,Fiji,6863
1559846104,Finland,4050
30026310133,France,4279
1073642767,French Guiana,3170
120041979,French Polynesia,6414
8026602,French Southern and Antarctic Lands,7905
203872443,Gabon,7550
37447980,Gambia,7500
183934,Gaza Strip Administered by Israel,5082
340495811,Georgia,4633
49978833642,Germany,4280
949974971,Ghana,7490
1979387908,Gibraltar,4720
725598644,Greece,4840
8079551,Greenland,1010
90473526,Grenada,2489
100959536,Guadeloupe,2831
5821086031,Guatemala,2050
135284129,Guinea,7460
2135320,Guinea-Bissau,7642
368134263,Guyana,3120
1140569428,Haiti,2450
913419,Heard and McDonald Islands,6029
5216351054,Honduras,2150
37182746594,Hong Kong,5820
1715272285,Hungary,4370
415457850,Iceland,4000
21452908500,India,5330
7118132992,Indonesia,5600
281916260,Iran,5070
1973385477,Iraq,5050
8930613964,Ireland,4190
13539211555,Israel,5081
16212487317,Italy,4759
1716058129,Jamaica,2410
62387809646,Japan,5880
1359622137,Jordan,5110
510474553,Kazakhstan,4634
943453507,Kenya,7790
7320835,Kiribati,6226
4751721,"Korea, North",5790
43483975006,"Korea, South",5800
19743318,Kosovo,4803
2740651183,Kuwait,5130
32003481,Kyrgyzstan,4635
24584007,Laos,5530
267104491,Latvia,4490
1286046233,Lebanon,5040
881897,Lesotho,7990
135815547,Liberia,7650
231336899,Libya,7250
35475476,Liechtenstein,4411
528184140,Lithuania,4510
1393819297,Luxembourg,4239
542389229,Macau,5660
30678977,Macedonia,4794
54553731,Madagascar,7880
37201602,Malawi,7970
12277705641,Malaysia,5570
35136130,Maldives,5683
72426079,Mali,7450
490665964,Malta,4730
53807652,Marshall Islands,6810
132669428,Martinique,2839
126279168,Mauritania,7410
58435311,Mauritius,7850
5697333,Mayotte,7881
236460137152,Mexico,2010
40032615,Micronesia,6820
16163682,Moldova,4641
71128048,Monaco,4272
69177420,Mongolia,5740
11133957,Montenegro,4804
6640011,Montserrat,2485
1624802519,Morocco,7140
264203995,Mozambique,7870
127617698,Namibia,7920
1733650,Nauru,6862
36414272,Nepal,5360
40211651705,Netherlands,4210
0,Netherlands Antilles (through Apr 2011),2771
88666191,New Caledonia,6412
3630673018,New Zealand,6141
1267399287,Nicaragua,2190
71605993,Niger,7510
3431360217,Nigeria,7530
71371,Niue,6144
350312,Norfolk Island,6022
3570413531,Norway,4039
2355321858,Oman,5230
1837956984,Pakistan,5350
25634214,Palau,6830
7668879989,Panama,2250
207793894,Papua New Guinea,6040
1491695557,Paraguay,3530
8723968906,Peru,3330
7903089702,Philippines,5650
17405,Pitcairn Islands,6225
3715464005,Poland,4550
942300758,Portugal,4710
4222427990,Qatar,5180
6905271,Reunion,7904
753747879,Romania,4850
7086515412,Russia,4621
14281660,Rwanda,7690
22719660,Samoa,6150
5011879,San Marino,4751
853963,Sao Tome and Principe,7644
19791575408,Saudi Arabia,5170
198825180,Senegal,7440
126269420,Serbia,4801
18546349,Seychelles,7800
77325724,Sierra Leone,7470
28480840145,Singapore,5590
741426745,Sint Maarten,2774
379538474,Slovakia,4359
346054314,Slovenia,4792
5861309,Solomon Islands,6223
45026584,Somalia,7700
5457293361,South Africa,7910
19613532,South Sudan,7323
