EXPALL2015,COUNTRY,SCHEDULE
10310080790,Spain,4700
361949974,Sri Lanka,5420
3720487,St Helena,7580
149735796,St Kitts and Nevis,2483
515415136,St Lucia,2487
227459,St Pierre and Miquelon,1610
84722498,St Vincent and the Grenadines,2488
59514997,Sudan,7321
0,Sudan (through Jul 2011),7320
443632080,Suriname,3150
380164,"Svalbard, Jan Mayen Island",4031
3939001935,Sweden,4010
22154240851,Switzerland,4419
3072304,Syria,5020
25826012762,Taiwan,5830
18985373,Tajikistan,4642
172816873,Tanzania,7830
11228763356,Thailand,5490
2690584,Timor-Leste,5601
311816374,Togo,7520
341222,Tokelau,6143
13817538,Tonga,6864
2511636101,Trinidad and Tobago,2740
602417422,Tunisia,7230
9519509918,Turkey,4890
80832991,Turkmenistan,4643
279679103,Turks and Caicos Islands,2430
625636,Tuvalu,6227
88239289,Uganda,7780
862158955,Ukraine,4623
23001078211,United Arab Emirates,5200
56094705824,United Kingdom,4120
1295135756,Uruguay,3550
137962928,Uzbekistan,4644
5867876,Vanuatu,6224
2226547,Vatican City,4752
8343600405,Venezuela,3070
7100571980,Vietnam,5520
376841,Wallis and Futuna,6413
859737,West Bank Administered by Israel,5083
32113,Western Sahara,7370
158009761,Yemen,5210
84170835,Zambia,7940
37844983,Zimbabwe,7960
0,Unidentified Countries,XXXX
