EXPALL2017,COUNTRY,SCHEDULE
941428060,Afghanistan,5310
62086804,Albania,4810
1059840617,Algeria,7210
3285167,Andorra,4271
809444868,Angola,7620
59409382,Anguilla,2481
425623529,Antigua and Barbuda,2484
9585957928,Argentina,3570
55005606,Armenia,4631
966305683,Aruba,2779
24526835921,Australia,6021
4275263150,Austria,4330
354555299,Azerbaijan,4632
3057271998,Bahamas,2360
898156400,Bahrain,5250
1473961033,Bangladesh,5380
525452357,Barbados,2720
72668182,Belarus,4622
29923692464,Belgium,4231
294920783,Belize,2080
250135870,Benin,7610
693650060,Bermuda,2320
34892754,Bhutan,5682
594703634,Bolivia,3350
27142924,Bosnia and Herzegovina,4793
93045279,Botswana,7930
37221566249,Brazil,3510
36334868,British Indian Ocean Territories,7810
377227746,British Virgin Islands,2482
121111606,Brunei,5610
381490292,Bulgaria,4870
60978397,Burkina Faso,7600
211368799,Burma,5460
8132760,Burundi,7670
9146393,Cabo Verde,7643
400220962,Cambodia,5550
158845783,Cameroon,7420
282265135262,Canada,1220
885800982,Cayman Islands,2440
11178603,Central African Republic,7540
31338485,Chad,7560
13605342592,Chile,3370
129893586716,China,5700
476695,Christmas Island,6024
452079,Cocos (Keeling) Islands,6023
13312122946,Colombia,3010
1375097,Comoros,7890
117378013,Congo (Brazzaville),7630
76260999,Congo (Kinshasa),7660
5243873,Cook Islands,6142
6169608810,Costa Rica,2230
319964133,Cote d'Ivoire,7480
447955755,Croatia,4791
291276873,Cuba,2390
692167798,Curacao,2777
82401930,Cyprus,4910
2273780613,Czech Republic,4351
2210191808,Denmark,4099
157467862,Djibouti,7770
178447184,Dominica,2486
7827520352,Dominican Republic,2470
4820700634,Ecuador,3310
3991832766,Egypt,7290
3057896029,El Salvador,2110
111936150,Equatorial Guinea,7380
5021254,Eritrea,7741
273958646,Estonia,4470
24073435,Eswatini,7950
877152409,Ethiopia,7749
482089,Falkland Islands (Islas Malvinas),3720
2034537,Faroe Islands,4091
66551898,Fiji,6863
1534930626,Finland,4050
33595514399,France,4279
162743230,French Guiana,3170
119798493,French Polynesia,6414
2842721,French Southern and Antarctic Lands,7905
89006490,Gabon,7550
39235769,Gambia,7500
555101,Gaza Strip Administered by Israel,5082
382865271,Georgia,4633
53896753486,Germany,4280
859971235,Ghana,7490
1126417629,Gibraltar,4720
960728649,Greece,4840
9884715,Greenland,1010
102991413,Grenada,2489
244842196,Guadeloupe,2831
6895337671,Guatemala,2050
103022431,Guinea,7460
3751655,Guinea-Bissau,7642
377349484,Guyana,3120
1410575337,Haiti,2450
125829,Heard and McDonald Islands,6029
5079663953,Honduras,2150
39939130227,Hong Kong,5820
1888233492,Hungary,4370
399258756,Iceland,4000
25688861698,India,5330
6863831289,Indonesia,5600
136000618,Iran,5070
1204721644,Iraq,5050
10707555883,Ireland,4190
12550082579,Israel,5081
18404689805,Italy,4759
2105505325,Jamaica,2410
67605076964,Japan,5880
1920886330,Jordan,5110
552092011,Kazakhstan,4634
454453344,Kenya,7790
4928546,Kiribati,6226
2660,"Korea, North",5790
48326408702,"Korea, South",5800
10070786,Kosovo,4803
5143414006,Kuwait,5130
26066859,Kyrgyzstan,4635
25671660,Laos,5530
381621395,Latvia,4490
1221529041,Lebanon,5040
1901616,Lesotho,7990
138340637,Liberia,7650
134952674,Libya,7250
27744402,Liechtenstein,4411
609272207,Lithuania,4510
1078074731,Luxembourg,4239
502136131,Macau,5660
41225784,Macedonia,4794
53367175,Madagascar,7880
27880840,Malawi,7970
12964461912,Malaysia,5570
34373287,Maldives,5683
62015550,Mali,7450
293009573,Malta,4730
556988101,Marshall Islands,6810
168255979,Martinique,2839
127777390,Mauritania,7410
61421605,Mauritius,7850
493107,Mayotte,7881
243314438647,Mexico,2010
44827548,Micronesia,6820
17614764,Moldova,4641
42263572,Monaco,4272
82192362,Mongolia,5740
9148718,Montenegro,4804
9708109,Montserrat,2485
2219661823,Morocco,7140
179126068,Mozambique,7870
118561677,Namibia,7920
198927,Nauru,6862
75851857,Nepal,5360
41510332962,Netherlands,4210
0,Netherlands Antilles (through Apr 2011),2771
59362579,New Caledonia,6412
3924611227,New Zealand,6141
1589398811,Nicaragua,2190
44082049,Niger,7510
2170069073,Nigeria,7530
86722,Niue,6144
138341,Norfolk Island,6022
5453370720,Norway,4039
1985049832,Oman,5230
2808166960,Pakistan,5350
19432665,Palau,6830
6301303156,Panama,2250
105851898,Papua New Guinea,6040
2719236832,Paraguay,3530
8662612010,Peru,3330
8450925039,Philippines,5650
1431,Pitcairn Islands,6225
4523318939,Poland,4550
1192459324,Portugal,4710
3124095821,Qatar,5180
8376879,Reunion,7904
954684233,Romania,4850
6998497148,Russia,4621
66140569,Rwanda,7690
38309271,Samoa,6150
2109451,San Marino,4751
3140792,Sao Tome and Principe,7644
16348000104,Saudi Arabia,5170
207934050,Senegal,7440
125604552,Serbia,4801
15488847,Seychelles,7800
79185252,Sierra Leone,7470
29805915154,Singapore,5590
545156190,Sint Maarten,2774
441620058,Slovakia,4359
371602049,Slovenia,4792
9303881,Solomon Islands,6223
70594917,Somalia,7700
5020062464,South Africa,7910
13574310,South Sudan,7323
11063740551,Spain,4700
336255590,Sri Lanka,5420
587754,St Helena,7580
243537203,St Kitts and Nevis,2483
572438902,St Lucia,2487
390569,St Pierre and Miquelon,1610
81348131,St Vincent and the Grenadines,2488
69654352,Sudan,7321
0,Sudan (through Jul 2011),7320
359542397,Suriname,3150
1986719,"Svalbard, Jan Mayen Island",4031
3734457331,Sweden,4010
21684835238,Switzerland,4419
6961023,Syria,5020
25729504439,Taiwan,5830
17911115,Tajikistan,4642
145242068,Tanzania,7830
10991613094,Thailand,5490
2565401,Timor-Leste,5601
481810854,Togo,7520
1162557,Tokelau,6143
16719457,Tonga,6864
1816745419,Trinidad and Tobago,2740
543575125,Tunisia,7230
9741491909,Turkey,4890
282178944,Turkmenistan,4643
369866125,Turks and Caicos Islands,2430
796156,Tuvalu,6227
107869624,Uganda,7780
1787999300,Ukraine,4623
20019696481,United Arab Emirates,5200
56257922547,United Kingdom,4120
1599284155,Uruguay,3550
136094699,Uzbekistan,4644
7762425,Vanuatu,6224
1146853,Vatican City,4752
4133114819,Venezuela,3070
8133364685,Vietnam,5520
300526,Wallis and Futuna,6413
2192360,West Bank Administered by Israel,5083
418356,Western Sahara,7370
199030638,Yemen,5210
85149483,Zambia,7940
39926035,Zimbabwe,7960
0,Unidentified Countries,XXXX
