EXPALL2016,COUNTRY,SCHEDULE
912724175,Afghanistan,5310
50293415,Albania,4810
2191261625,Algeria,7210
2830268,Andorra,4271
1249758184,Angola,7620
42896633,Anguilla,2481
261509683,Antigua and Barbuda,2484
8511489313,Argentina,3570
43578116,Armenia,4631
801039787,Aruba,2779
22149268573,Australia,6021
3795603391,Austria,4330
433531009,Azerbaijan,4632
2096791387,Bahamas,2360
899527384,Bahrain,5250
905690601,Bangladesh,5380
481879815,Barbados,2720
195011717,Belarus,4622
32100693086,Belgium,4231
267018643,Belize,2080
235029017,Benin,7610
628260720,Bermuda,2320
1975599,Bhutan,5682
657280710,Bolivia,3350
29365009,Bosnia and Herzegovina,4793
42427382,Botswana,7930
30066298085,Brazil,3510
5456460,British Indian Ocean Territories,7810
332920621,British Virgin Islands,2482
614355682,Brunei,5610
269019463,Bulgaria,4870
35387428,Burkina Faso,7600
195575356,Burma,5460
8407312,Burundi,7670
8693747,Cabo Verde,7643
360731305,Cambodia,5550
189770772,Cameroon,7420
266734465220,Canada,1220
753283981,Cayman Islands,2440
9418675,Central African Republic,7540
32817284,Chad,7560
12936522921,Chile,3370
115545507660,China,5700
1143404,Christmas Island,6024
779466,Cocos (Keeling) Islands,6023
13047256978,Colombia,3010
1349892,Comoros,7890
130887171,Congo (Brazzaville),7630
82754412,Congo (Kinshasa),7660
4650187,Cook Islands,6142
5869560034,Costa Rica,2230
291255359,Cote d'Ivoire,7480
290917714,Croatia,4791
241836581,Cuba,2390
876886735,Curacao,2777
182503492,Cyprus,4910
1966464888,Czech Republic,4351
2238312337,Denmark,4099
132530717,Djibouti,7770
51088419,Dominica,2486
7750963609,Dominican Republic,2470
4164018927,Ecuador,3310
3484753990,Egypt,7290
2918726688,El Salvador,2110
278439393,Equatorial Guinea,7380
3047902,Eritrea,7741
256554799,Estonia,4470
25610904,Eswatini,7950
826095277,Ethiopia,7749
1484575,Falkland Islands (Islas Malvinas),3720
2582134,Faroe Islands,4091
55049117,Fiji,6863
1573470891,Finland,4050
31153273784,France,4279
678020087,French Guiana,3170
100040487,French Polynesia,6414
4912096,French Southern and Antarctic Lands,7905
85017523,Gabon,7550
40003766,Gambia,7500
169843,Gaza Strip Administered by Israel,5082
324457252,Georgia,4633
49432133760,Germany,4280
831994825,Ghana,7490
