EXPALL2018,COUNTRY,SCHEDULE
1233900863,Afghanistan,5310
59247055,Albania,4810
1250222221,Algeria,7210
3065762,Andorra,4271
526550201,Angola,7620
115365671,Anguilla,2481
508599343,Antigua and Barbuda,2484
9919882731,Argentina,3570
46996547,Armenia,4631
599451851,Aruba,2779
25306451478,Australia,6021
3569042909,Austria,4330
313384860,Azerbaijan,4632
3091804973,Bahamas,2360
2036542012,Bahrain,5250
2109777902,Bangladesh,5380
589816261,Barbados,2720
132571822,Belarus,4622
31415752784,Belgium,4231
403056460,Belize,2080
255593009,Benin,7610
609249859,Bermuda,2320
55897123,Bhutan,5682
577834228,Bolivia,3350
46602450,Bosnia and Herzegovina,4793
81898126,Botswana,7930
39494176727,Brazil,3510
9255785,British Indian Ocean Territories,7810
823574654,British Virgin Islands,2482
266707060,Brunei,5610
370281419,Bulgaria,4870
59498247,Burkina Faso,7600
263565281,Burma,5460
14585766,Burundi,7670
8560372,Cabo Verde,7643
446599955,Cambodia,5550
196717530,Cameroon,7420
298719019857,Canada,1220
949044500,Cayman Islands,2440
22932802,Central African Republic,7540
52681780,Chad,7560
15340120352,Chile,3370
120341425641,China,5700
777666,Christmas Island,6024
344969,Cocos (Keeling) Islands,6023
14996142387,Colombia,3010
2777625,Comoros,7890
100253911,Congo (Brazzaville),7630
78869512,Congo (Kinshasa),7660
7210537,Cook Islands,6142
6345521489,Costa Rica,2230
311393487,Cote d'Ivoire,7480
615149296,Croatia,4791
275877982,Cuba,2390
851394140,Curacao,2777
131271971,Cyprus,4910
3003639030,Czech Republic,4351
2558913897,Denmark,4099
109480171,Djibouti,7770
518171070,Dominica,2486
8561209325,Dominican Republic,2470
5760421871,Ecuador,3310
5056506525,Egypt,7290
3415949971,El Salvador,2110
139458254,Equatorial Guinea,7380
8190789,Eritrea,7741
346905822,Estonia,4470
33335483,Eswatini,7950
1310886716,Ethiopia,7749
214959,Falkland Islands (Islas Malvinas),3720
2409486,Faroe Islands,4091
104997657,Fiji,6863
1872587309,Finland,4050
36326329368,France,4279
228820158,French Guiana,3170
287920181,French Polynesia,6414
817966,French Southern and Antarctic Lands,7905
113030380,Gabon,7550
41419417,Gambia,7500
484561,Gaza Strip Administered by Israel,5082
478701092,Georgia,4633
57653807554,Germany,4280
793031626,Ghana,7490
