EXPALL2018,COUNTRY,SCHEDULE
1290154123,Gibraltar,4720
1047678173,Greece,4840
6724612,Greenland,1010
119037835,Grenada,2489
331571481,Guadeloupe,2831
6648946577,Guatemala,2050
127171851,Guinea,7460
18555456,Guinea-Bissau,7642
540844912,Guyana,3120
1390910871,Haiti,2450
116341,Heard and McDonald Islands,6029
5600199225,Honduras,2150
37459619921,Hong Kong,5820
1751646038,Hungary,4370
644223510,Iceland,4000
33120079883,India,5330
8226195445,Indonesia,5600
440464702,Iran,5070
1313195634,Iraq,5050
10686900725,Ireland,4190
13715245856,Israel,5081
23153301783,Italy,4759
2720875956,Jamaica,2410
74966716044,Japan,5880
1606494998,Jordan,5110
729219585,Kazakhstan,4634
365148185,Kenya,7790
4442645,Kiribati,6226
4315,"Korea, North",5790
56344305789,"Korea, South",5800
18886355,Kosovo,4803
2984171244,Kuwait,5130
17021847,Kyrgyzstan,4635
15055031,Laos,5530
510373928,Latvia,4490
1317309014,Lebanon,5040
2311991,Lesotho,7990
217105318,Liberia,7650
244117629,Libya,7250
49377743,Liechtenstein,4411
707553374,Lithuania,4510
1025792879,Luxembourg,4239
601783749,Macau,5660
41371010,Macedonia,4794
112844651,Madagascar,7880
17243215,Malawi,7970
12864625115,Malaysia,5570
37719785,Maldives,5683
78958947,Mali,7450
200724381,Malta,4730
290066444,Marshall Islands,6810
235433203,Martinique,2839
88167091,Mauritania,7410
123581929,Mauritius,7850
869589,Mayotte,7881
265010357329,Mexico,2010
46814194,Micronesia,6820
13419039,Moldova,4641
229389914,Monaco,4272
120919707,Mongolia,5740
63343263,Montenegro,4804
17693147,Montserrat,2485
2945071867,Morocco,7140
184992530,Mozambique,7870
202648967,Namibia,7920
796958,Nauru,6862
55468425,Nepal,5360
49390541239,Netherlands,4210
0,Netherlands Antilles (through Apr 2011),2771
63929746,New Caledonia,6412
4067162136,New Zealand,6141
1603222944,Nicaragua,2190
61713676,Niger,7510
2668385791,Nigeria,7530
1260759,Niue,6144
196503,Norfolk Island,6022
5457238702,Norway,4039
2421284675,Oman,5230
2929193935,Pakistan,5350
20613540,Palau,6830
6884892650,Panama,2250
86711959,Papua New Guinea,6040
2378909090,Paraguay,3530
9633776499,Peru,3330
8706811342,Philippines,5650
84549,Pitcairn Islands,6225
5413471020,Poland,4550
1463640130,Portugal,4710
4423315970,Qatar,5180
8629639,Reunion,7904
1108241190,Romania,4850
6667639313,Russia,4621
25328778,Rwanda,7690
39054159,Samoa,6150
1567197,San Marino,4751
2068258,Sao Tome and Principe,7644
13624380215,Saudi Arabia,5170
298592546,Senegal,7440
165737607,Serbia,4801
14292032,Seychelles,7800
71469498,Sierra Leone,7470
33141037988,Singapore,5590
673529728,Sint Maarten,2774
289606762,Slovakia,4359
319473585,Slovenia,4792
11720226,Solomon Islands,6223
50137865,Somalia,7700
5517083252,South Africa,7910
23493218,South Sudan,7323
12975520308,Spain,4700
372158350,Sri Lanka,5420
719155,St Helena,7580
210005430,St Kitts and Nevis,2483
572946288,St Lucia,2487
132128,St Pierre and Miquelon,1610
82343295,St Vincent and the Grenadines,2488
95070915,Sudan,7321
0,Sudan (through Jul 2011),7320
388053338,Suriname,3150
3556277,"Svalbard, Jan Mayen Island",4031
4483024828,Sweden,4010
22230659923,Switzerland,4419
50673806,Syria,5020
30242789570,Taiwan,5830
14374735,Tajikistan,4642
335234472,Tanzania,7830
12588290857,Thailand,5490
1501521,Timor-Leste,5601
563595986,Togo,7520
2922525,Tokelau,6143
24125609,Tonga,6864
2109595221,Trinidad and Tobago,2740
596611440,Tunisia,7230
10194019087,Turkey,4890
30903044,Turkmenistan,4643
356445694,Turks and Caicos Islands,2430
1359004,Tuvalu,6227
87353491,Uganda,7780
2465070314,Ukraine,4623
19548340592,United Arab Emirates,5200
66228171593,United Kingdom,4120
1445478560,Uruguay,3550
296379756,Uzbekistan,4644
10308509,Vanuatu,6224
183830,Vatican City,4752
5861118214,Venezuela,3070
9683740424,Vietnam,5520
1188657,Wallis and Futuna,6413
2150418,West Bank Administered by Israel,5083
259989,Western Sahara,7370
195097586,Yemen,5210
195378641,Zambia,7940
33982505,Zimbabwe,7960
0,Unidentified Countries,XXXX
